,Categoria,Fecha,Cantidad
0,01 Mascarilla ,2021-06-12,1.72
1,04 Pañuelos Masivos,2020-05-14,330.18
2,01 Higiénicos Masivos,2021-02-13,231409.24
3,04 Pañuelos Masivos,2020-11-16,118.24
4,03 Servilletas Masivos,2020-10-23,34883.05
5,10 Toallas Femeninas,2019-10-30,5591.3
6,03 Servilletas Masivos,2020-10-17,25106.17
7,01 Mascotas,2021-04-24,0.33
8,10 Toallas Femeninas,2021-06-22,5628.33
9,03 Servilletas Masivos,2021-04-24,20092.83
10,05 Pañales Bebe,2020-02-11,29965.13
11,38 Pañales Adultos,2019-11-27,940.86
12,02 Rollos de Cocina,2020-08-16,1840.0
13,38 Pañales Adultos,2020-07-19,5.0
14,38 Pañales Adultos,2021-01-21,1265.2
15,11 Toallas Húmedas,2020-06-16,793.87
16,01 Mascotas,2020-03-02,1.17
17,38 Pañales Adultos,2021-01-18,739.3
18,10 Toallas Femeninas,2019-10-27,108.04
19,04 Pañuelos Masivos,2020-11-19,48.06
20,10 Toallas Femeninas,2020-04-30,4493.47
21,11 Toallas Húmedas,2020-12-19,782.9
22,03 Servilletas Masivos,2020-04-17,20168.9
23,05 Pañales Bebe,2020-02-14,29483.28
24,01 Higiénicos Masivos,2020-08-08,259726.81
25,02 Rollos de Cocina,2021-02-18,47144.91
26,01 Higiénicos Masivos,2021-02-10,220221.86
27,01 Mascarilla ,2021-06-15,6.69
28,05 Pañales Bebe,2020-08-18,41939.99
29,04 Pañuelos Masivos,2020-11-13,158.54
30,03 Servilletas Masivos,2020-10-20,26862.4
31,02 Rollos de Cocina,2021-02-15,67558.13
32,01 Mascotas,2021-04-21,38.46
33,05 Pañales Bebe,2020-08-15,35061.31
34,01 Higiénicos Masivos,2020-02-07,367442.37
35,01 Higiénicos Masivos,2020-08-11,311149.52
36,05 Pañales Bebe,2021-04-07,41266.58
37,02 Rollos de Cocina,2020-08-13,75518.98
38,10 Toallas Femeninas,2021-06-25,4896.85
39,11 Toallas Húmedas,2019-10-28,695.89
40,10 Toallas Femeninas,2020-11-02,3263.76
41,11 Toallas Húmedas,2020-12-22,1029.86
42,38 Pañales Adultos,2020-07-16,959.42
43,01 Mascotas,2020-03-05,1.17
44,01 Mascotas,2020-02-28,0.25
45,11 Toallas Húmedas,2020-06-19,799.02
46,11 Toallas Húmedas,2020-12-16,882.93
47,03 Servilletas Masivos,2020-04-20,15518.79
48,02 Rollos de Cocina,2020-08-19,73373.58
49,10 Toallas Femeninas,2020-12-27,327.38
50,01 Mascotas,2020-10-26,204.17
51,02 Rollos de Cocina,2020-02-15,45561.09
52,01 Mascotas,2021-04-30,15.83
53,38 Pañales Adultos,2021-01-15,1189.06
54,05 Pañales Bebe,2020-02-17,26366.57
55,01 Mascarilla ,2021-06-18,1.54
56,38 Pañales Adultos,2019-11-24,1.0
57,10 Toallas Femeninas,2020-06-24,8318.26
58,11 Toallas Húmedas,2021-06-20,20.71
59,01 Higiénicos Masivos,2021-04-06,224501.58
60,01 Mascarilla ,2020-12-17,2.32
61,04 Pañuelos Masivos,2019-11-16,116.77
62,03 Servilletas Masivos,2019-10-23,57379.29
63,11 Toallas Húmedas,2021-06-14,958.33
64,11 Toallas Húmedas,2019-10-25,1907.68
65,05 Pañales Bebe,2021-04-10,44757.93
66,01 Higiénicos Masivos,2020-08-14,288738.1
67,10 Toallas Femeninas,2021-06-28,467.85
68,03 Servilletas Masivos,2020-04-26,5175.0
69,02 Rollos de Cocina,2020-02-18,48367.13
70,04 Pañuelos Masivos,2020-05-20,58.51
71,01 Higiénicos Masivos,2020-02-10,355303.18
72,02 Rollos de Cocina,2020-08-22,61202.97
73,10 Toallas Femeninas,2020-12-24,1936.94
74,38 Pañales Adultos,2020-05-25,643.76
75,03 Servilletas Masivos,2020-04-23,20036.07
76,11 Toallas Húmedas,2020-12-13,49.31
77,38 Pañales Adultos,2019-11-21,709.54
78,02 Rollos de Cocina,2021-04-11,1178.92
79,01 Mascotas,2020-10-23,20.62
80,05 Pañales Bebe,2020-10-09,34519.73
81,11 Toallas Húmedas,2021-06-17,1015.58
82,38 Pañales Adultos,2021-01-12,786.54
83,01 Mascotas,2021-04-27,3.75
84,03 Servilletas Masivos,2021-06-15,23211.55
85,01 Mascarilla ,2021-06-21,0.43
86,01 Higiénicos Masivos,2021-04-03,84945.22
87,10 Toallas Femeninas,2019-11-02,2353.44
88,10 Toallas Femeninas,2019-11-05,4320.29
89,05 Pañales Bebe,2021-04-13,28679.11
90,01 Mascarilla ,2020-12-14,1.38
91,04 Pañuelos Masivos,2019-11-13,174.15
92,03 Servilletas Masivos,2019-10-20,5883.35
93,11 Toallas Húmedas,2019-10-22,687.44
94,11 Toallas Húmedas,2020-04-25,670.47
95,01 Higiénicos Masivos,2020-02-13,378075.16
96,03 Servilletas Masivos,2020-12-14,29401.68
97,05 Pañales Bebe,2020-04-09,4660.4
98,11 Toallas Húmedas,2019-12-25,8.0
99,01 Higiénicos Masivos,2020-02-16,11289.04
100,01 Mascotas,2021-06-21,0.25
101,02 Rollos de Cocina,2021-04-14,71430.81
102,01 Mascarilla ,2021-04-21,3.77
103,05 Pañales Bebe,2021-04-16,27612.41
104,05 Pañales Bebe,2020-10-12,30797.78
105,03 Servilletas Masivos,2021-06-18,19304.11
106,38 Pañales Adultos,2020-01-24,939.4
107,11 Toallas Húmedas,2021-02-12,1005.64
108,10 Toallas Femeninas,2019-12-27,4052.58
109,03 Servilletas Masivos,2019-10-29,60736.45
110,04 Pañuelos Masivos,2019-11-22,150.13
111,01 Mascarilla ,2021-04-18,1.3
112,10 Toallas Femeninas,2020-12-30,6462.63
113,01 Mascotas,2020-10-29,72.98
114,10 Toallas Femeninas,2019-12-09,3984.59
115,03 Servilletas Masivos,2020-09-07,22305.76
116,03 Servilletas Masivos,2021-03-12,19401.58
117,11 Toallas Húmedas,2021-05-11,851.78
118,04 Pañuelos Masivos,2020-06-23,101.31
119,11 Toallas Húmedas,2019-09-18,730.33
120,38 Pañales Adultos,2019-10-18,860.32
121,05 Pañales Bebe,2020-03-25,20820.13
122,10 Toallas Femeninas,2021-01-30,7216.85
123,04 Pañuelos Masivos,2020-12-26,34.88
124,04 Pañuelos Masivos,2020-06-20,69.69
125,01 Higiénicos Masivos,2021-01-04,196215.87
126,02 Rollos de Cocina,2020-09-28,57187.5
127,05 Pañales Bebe,2019-09-21,31529.35
128,10 Toallas Femeninas,2019-12-06,3387.6
129,01 Higiénicos Masivos,2019-11-10,5419.65
130,01 Higiénicos Masivos,2020-07-02,316083.85
131,11 Toallas Húmedas,2020-11-06,1109.12
132,38 Pañales Adultos,2020-12-09,777.88
133,05 Pañales Bebe,2021-05-17,28391.85
134,11 Toallas Húmedas,2020-11-12,1060.45
135,10 Toallas Femeninas,2019-12-12,4519.75
136,03 Servilletas Masivos,2020-09-10,21247.22
