,Distribuidor,Fecha,Cantidad
1,CODIJISA - PIURA,2019-09-02,700.0
2,CURTIS ESTE,2019-09-02,399.74
3,DIJISA - CHINCHA,2019-09-02,390.96
4,GUMISA - HUARAZ,2019-09-02,3269.1
5,LA GENOVESA - MOQUEGUA,2019-09-02,63.0
6,RODAMEOS,2019-09-02,7874.0
7,URBANO,2019-09-02,642.4
8,CODIJISA - TRUJILLO,2019-09-03,2218.26
10,GRUPO SVS,2019-09-03,5767.58
12,RICMAN,2019-09-03,4433.0
13,DACIA - LIMA,2019-09-04,508.5
15,LIDER - CHEPEN,2019-09-04,219.25
16,PANAM,2019-09-04,655.55
17,VEGA - NORTE,2019-09-04,5466.84
18,LA GENOVESA - ILO,2019-09-05,697.88
19,LANCERO - LA MERCED,2019-09-05,126.98
20,MOLISAC,2019-09-05,7312.49
22,PATITA SAC,2019-09-05,3202.44
23,TCA SAC,2019-09-05,2583.1
25,CODIFER,2019-09-06,2604.93
26,CORPORACION_VEGA,2019-09-06,1878.72
27,DICOBELSA - LIMA,2019-09-06,2197.93
28,FERROL,2019-09-06,1685.41
29,GUMISA - HUARAZ,2019-09-06,4042.4
30,MYL_HERMANOS,2019-09-06,16693.13
31,VEGA - CENTRO,2019-09-06,2847.26
32,CODIJISA - TRUJILLO,2019-09-07,1313.38
33,TAMBOS AQP,2019-09-07,3201.63
34,ALMACENES_SEVILLANO,2019-09-09,373.88
35,EUROVA,2019-09-09,41869.25
36,GIANELA,2019-09-09,3698.94
37,LANCERO - LA MERCED,2019-09-09,164.75
38,MYG,2019-09-09,1753.68
39,STA APOLONIA - CH,2019-09-09,3011.62
40,CODIJISA - CHIMBOTE,2019-09-10,2440.92
41,LYG-CD_SAC,2019-09-10,9545.0
43,STA APOLONIA - T,2019-09-10,6282.64
44,DACIA - LIMA,2019-09-11,1477.72
46,DIPSA-ABANCAY,2019-09-11,842.37
47,KONSUMASS,2019-09-11,4613.01
48,SODALES,2019-09-11,8739.08
49,CASA GRANDE,2019-09-12,11221.17
50,DIJISA - AYACUCHO,2019-09-12,269.02
51,DIJISA - HUANCAYO,2019-09-12,455.25
52,EDUSA,2019-09-12,1403.96
53,ESTILOS,2019-09-12,575.97
54,LA GENOVESA - TACNA,2019-09-12,1212.89
57,P&PJ CHINCHA,2019-09-12,4065.99
58,SIPAN - Y,2019-09-12,5665.64
59,ARCANGEL,2019-09-13,6827.48
60,CODIFER,2019-09-13,2565.21
61,DICOBELSA - LIMA,2019-09-13,2302.91
62,GUMISA - HUARAZ,2019-09-13,4266.33
63,VEGA - CENTRO,2019-09-13,2831.79
65,AGA - MOYOBAMBA,2019-09-14,1088.75
66,CHUPACA BUSINESS,2019-09-14,3090.59
67,LANCERO - TINGO MARIA,2019-09-14,109.33
68,LIDER - TRUJILLO,2019-09-14,303.25
70,RICMAN,2019-09-14,4339.0
72,TAYMI,2019-09-14,4577.07
73,TEMMY,2019-09-14,1432.24
74,ZV,2019-09-14,4573.0
75,EUROVA,2019-09-16,13533.03
76,LANCERO - LA MERCED,2019-09-16,118.0
77,LANCERO - PUCALLPA,2019-09-16,856.92
78,MARRACHE,2019-09-16,1052.46
79,CALLAYUC,2019-09-17,11706.75
80,DIPSA-AYACUCHO,2019-09-17,14853.58
81,DISART,2019-09-17,4271.25
82,JRC - ICA,2019-09-17,2246.55
83,VEGA - SUR,2019-09-17,2165.49
84,DISTRIBUIDORA CCM,2019-09-18,33569.0
86,DYCART,2019-09-18,299.0
87,KONSUMASS,2019-09-18,4222.33
88,LANCERO - HUANUCO,2019-09-18,352.71
89,TAMBOS AQP,2019-09-18,3493.62
90,ECONOMYSA,2019-09-19,5125.06
91,ESTILOS,2019-09-19,901.45
92,P&PJ CHINCHA,2019-09-19,2511.1
93,SAUL,2019-09-19,2999.79
94,SIPAN - Y,2019-09-19,6986.19
95,DIPSA-ANDAHUAYLAS,2019-09-20,942.7
96,LAGUI,2019-09-20,1525.0
97,MYL_HERMANOS,2019-09-20,17792.0
98,RODAMEOS,2019-09-20,4761.0
99,URBANO,2019-09-20,2234.3
100,CHUPACA BUSINESS,2019-09-21,1227.35
101,CODIJISA - TRUJILLO,2019-09-21,1254.13
102,MELVIN MICHEL AL,2019-09-22,3204.8
103,ALMACENES_SEVILLANO,2019-09-23,907.5
104,DIJISA - AYACUCHO,2019-09-23,697.27
105,LA GENOVESA - ILO,2019-09-23,69.71
106,PATITA SAC,2019-09-23,4621.37
107,SIPAN - Y,2019-09-23,11369.42
108,TAMBOS LIMA,2019-09-23,6593.42
109,TCA SAC,2019-09-23,2972.61
111,CALLAYUC,2019-09-24,6706.25
112,DIJISA - ICA,2019-09-24,660.08
113,AGA - TARAPOTO,2019-09-25,1125.96
115,AGA - JAEN,2019-09-26,2377.32
117,DIJISA - LIMA,2019-09-26,851.2
118,LA GENOVESA - TACNA,2019-09-26,1380.9
121,SAN JUAN,2019-09-26,3426.36
123,CODIJISA - PIURA,2019-09-27,5540.45
125,RICMAN,2019-09-02,1918.0
126,DIJISA - ICA,2019-09-03,1418.54
127,DROGUERIA SAN MARTIN,2019-09-03,4454.91
128,MARRACHE,2019-09-03,2263.08
129,AGA - TARAPOTO,2019-09-04,616.53
130,DISART,2019-09-04,8803.04
131,EUROVA,2019-09-04,20128.0
132,LANCERO - LA MERCED,2019-09-04,95.75
135,DIJISA - LIMA,2019-09-05,799.24
136,MYG,2019-09-05,641.66
137,SAN JUAN,2019-09-05,2612.71
138,TAYMI,2019-09-05,20862.89
140,CODIJISA - PIURA,2019-09-06,9363.65
141,CURTIS ESTE,2019-09-06,584.68
142,DIJISA - CHINCHA,2019-09-06,1257.5
