,Localidad,Fecha,Cantidad
0,AMAZONAS,2019-10-01,43.23
1,AMAZONAS,2019-10-02,58.5
2,AMAZONAS,2019-10-03,57.17
3,AMAZONAS,2019-10-04,478.96
4,AMAZONAS,2019-10-05,72.17
5,AMAZONAS,2019-10-07,536.52
6,AMAZONAS,2019-10-09,837.83
7,AMAZONAS,2019-10-10,81.83
8,AMAZONAS,2019-10-11,392.25
9,AMAZONAS,2019-10-12,151.03
10,AMAZONAS,2019-10-14,220.0
11,AMAZONAS,2019-10-15,287.25
12,AMAZONAS,2019-10-16,626.4
13,AMAZONAS,2019-10-17,75.86
14,AMAZONAS,2019-10-18,548.25
15,AMAZONAS,2019-10-19,96.0
16,AMAZONAS,2019-10-21,196.5
17,AMAZONAS,2019-10-22,685.58
18,AMAZONAS,2019-10-23,534.67
19,AMAZONAS,2019-10-24,28.25
20,AMAZONAS,2019-10-25,1660.0
21,AMAZONAS,2019-10-26,24.0
22,AMAZONAS,2019-10-28,21.17
23,AMAZONAS,2019-10-29,762.25
24,AMAZONAS,2019-10-30,208.21
25,AMAZONAS,2019-10-31,1631.78
26,AMAZONAS,2019-11-04,6.0
27,AMAZONAS,2019-11-05,230.92
28,AMAZONAS,2019-11-06,348.29
29,AMAZONAS,2019-11-07,36.4
30,AMAZONAS,2019-11-08,519.85
31,AMAZONAS,2019-11-09,97.17
32,AMAZONAS,2019-11-11,110.83
33,AMAZONAS,2019-11-12,313.92
34,AMAZONAS,2019-11-13,240.92
35,AMAZONAS,2019-11-14,116.08
36,AMAZONAS,2019-11-15,874.88
37,AMAZONAS,2019-11-16,140.0
38,AMAZONAS,2019-11-18,328.46
39,AMAZONAS,2019-11-19,140.15
40,AMAZONAS,2019-11-20,266.33
41,AMAZONAS,2019-11-21,207.25
42,AMAZONAS,2019-11-22,439.42
43,AMAZONAS,2019-11-25,145.79
44,AMAZONAS,2019-11-26,895.98
45,AMAZONAS,2019-11-27,763.63
46,AMAZONAS,2019-11-28,437.67
47,AMAZONAS,2019-11-29,1700.33
48,AMAZONAS,2019-11-30,1317.87
49,AMAZONAS,2019-12-02,281.25
50,AMAZONAS,2019-12-03,63.33
51,AMAZONAS,2019-12-04,276.33
52,AMAZONAS,2019-12-05,4833.96
53,AMAZONAS,2019-12-06,813.0
54,AMAZONAS,2019-12-07,367.33
55,AMAZONAS,2019-12-08,1085.0
56,AMAZONAS,2019-12-09,2684.19
57,AMAZONAS,2019-12-10,270.83
58,AMAZONAS,2019-12-11,1033.42
59,AMAZONAS,2019-12-12,2484.95
60,AMAZONAS,2019-12-13,2739.33
61,AMAZONAS,2019-12-14,102.67
62,AMAZONAS,2019-12-15,1302.0
63,AMAZONAS,2019-12-16,939.0
64,AMAZONAS,2019-12-17,507.25
65,AMAZONAS,2019-12-18,867.83
66,AMAZONAS,2019-12-19,4035.23
67,AMAZONAS,2019-12-20,2089.0
68,AMAZONAS,2019-12-21,376.0
69,AMAZONAS,2019-12-22,168.0
70,AMAZONAS,2019-12-23,2126.63
71,AMAZONAS,2019-12-24,1099.33
72,AMAZONAS,2019-12-26,804.83
73,AMAZONAS,2019-12-27,1404.5
74,AMAZONAS,2019-12-28,2620.0
75,AMAZONAS,2019-12-30,294.85
76,AMAZONAS,2019-12-31,1369.86
77,AMAZONAS,2020-01-01,7.5
78,AMAZONAS,2020-01-02,600.0
79,AMAZONAS,2020-01-03,626.46
80,AMAZONAS,2020-01-04,621.0
81,AMAZONAS,2020-01-06,1823.0
82,AMAZONAS,2020-01-07,1449.5
83,AMAZONAS,2020-01-08,626.5
84,AMAZONAS,2020-01-09,952.73
85,AMAZONAS,2020-01-10,1863.73
86,AMAZONAS,2020-01-11,953.37
87,AMAZONAS,2020-01-13,969.67
88,AMAZONAS,2020-01-14,1139.0
89,AMAZONAS,2020-01-15,817.25
90,AMAZONAS,2020-01-16,540.25
91,AMAZONAS,2020-01-17,925.33
92,AMAZONAS,2020-01-18,150.29
93,AMAZONAS,2020-01-20,837.58
94,AMAZONAS,2020-01-21,6695.83
95,AMAZONAS,2020-01-22,4355.38
96,AMAZONAS,2020-01-23,3682.88
97,AMAZONAS,2020-01-24,3799.58
98,AMAZONAS,2020-01-25,32.92
99,AMAZONAS,2020-01-26,1740.0
100,AMAZONAS,2020-01-27,6577.75
101,AMAZONAS,2020-01-28,1020.21
102,AMAZONAS,2020-01-29,1592.0
103,AMAZONAS,2020-01-30,197.72
104,AMAZONAS,2020-01-31,837.67
105,AMAZONAS,2020-02-03,44.5
106,AMAZONAS,2020-02-04,96.83
107,AMAZONAS,2020-02-05,724.2
108,AMAZONAS,2020-02-06,519.95
109,AMAZONAS,2020-02-07,2030.27
110,AMAZONAS,2020-02-08,721.5
111,AMAZONAS,2020-02-10,524.99
112,AMAZONAS,2020-02-11,1353.53
113,AMAZONAS,2020-02-12,448.4
114,AMAZONAS,2020-02-13,125.08
115,AMAZONAS,2020-02-14,663.28
116,AMAZONAS,2020-02-15,38.83
117,AMAZONAS,2020-02-17,177.23
118,AMAZONAS,2020-02-18,590.0
119,AMAZONAS,2020-02-19,744.16
120,AMAZONAS,2020-02-20,656.33
121,AMAZONAS,2020-02-21,338.75
122,AMAZONAS,2020-02-22,300.0
123,AMAZONAS,2020-02-24,6758.0
124,AMAZONAS,2020-02-25,4587.94
125,AMAZONAS,2020-02-26,4476.42
126,AMAZONAS,2020-02-27,2119.42
127,AMAZONAS,2020-02-28,3536.43
128,AMAZONAS,2020-02-29,5944.33
129,AMAZONAS,2020-03-01,7.5
130,AMAZONAS,2020-03-02,1410.0
131,AMAZONAS,2020-03-03,888.0
132,AMAZONAS,2020-03-04,1719.58
133,AMAZONAS,2020-03-05,2060.13
134,AMAZONAS,2020-03-06,2606.85
135,AMAZONAS,2020-03-07,467.0
136,AMAZONAS,2020-03-09,767.21
137,AMAZONAS,2020-03-10,1155.98
138,AMAZONAS,2020-03-11,841.21
139,AMAZONAS,2020-03-12,130.85
140,AMAZONAS,2020-03-13,1843.71
141,AMAZONAS,2020-03-14,544.21
142,AMAZONAS,2020-03-16,780.2
143,AMAZONAS,2020-03-17,5340.29
144,AMAZONAS,2020-03-18,915.54
145,AMAZONAS,2020-03-19,3957.0
146,AMAZONAS,2020-03-20,6159.58
147,AMAZONAS,2020-03-21,2300.0
148,AMAZONAS,2020-03-23,3069.0
149,AMAZONAS,2020-03-24,2807.45
150,AMAZONAS,2020-03-25,1385.05
151,AMAZONAS,2020-03-26,975.8
152,AMAZONAS,2020-03-27,5933.75
153,AMAZONAS,2020-03-28,1848.0
154,AMAZONAS,2020-03-30,3047.4
155,AMAZONAS,2020-03-31,741.5
156,AMAZONAS,2020-04-01,310.0
157,AMAZONAS,2020-04-02,2494.04
158,AMAZONAS,2020-04-03,642.0
159,AMAZONAS,2020-04-04,1545.33
160,AMAZONAS,2020-04-05,727.0
161,AMAZONAS,2020-04-06,779.33
