,Marca,Fecha,Cantidad
0,006 Nova,2019-09-09,18877.77
1,036 Ladysoft,2021-03-08,4767.13
2,012 Higienol,2020-01-06,25375.41
3,038 Ok Pet,2020-09-28,5.25
4,038 Ok Pet,2020-03-26,0.04
5,036 Ladysoft,2021-03-14,91.32
6,001 Elite,2020-11-18,121270.67
7,008 Babysec,2020-09-25,35553.22
8,037 Cotidian,2020-12-21,1191.43
9,036 Ladysoft,2020-09-09,4049.95
10,006 Nova,2020-10-31,93924.86
11,003 Noble,2019-10-06,2351.13
12,006 Nova,2020-10-28,53826.17
13,003 Noble,2020-11-24,215528.08
14,006 Nova,2021-05-05,59444.67
15,001 Elite,2020-11-21,97648.83
16,003 Noble,2021-05-29,117207.88
17,008 Babysec,2020-09-19,38187.73
18,037 Cotidian,2020-12-15,823.19
19,001 Elite,2019-09-30,384385.8
20,003 Noble,2020-11-30,844785.93
21,012 Higienol,2021-02-27,24117.16
22,001 Elite,2021-05-26,95913.85
23,008 Babysec,2021-03-24,97334.57
24,038 Ok Pet,2020-03-23,0.33
25,036 Ladysoft,2021-03-11,4403.76
26,012 Higienol,2020-01-03,14427.36
27,006 Nova,2019-09-12,19130.81
28,008 Babysec,2020-03-20,24137.02
29,036 Ladysoft,2020-09-06,137.05
30,012 Higienol,2020-07-07,8323.4
31,003 Noble,2019-10-09,218090.77
32,037 Cotidian,2020-06-15,835.17
33,001 Elite,2020-05-19,183024.01
34,036 Ladysoft,2020-01-18,4557.8
35,012 Higienol,2021-02-24,10446.85
36,001 Elite,2020-11-24,130596.59
37,008 Babysec,2020-09-22,43626.58
38,037 Cotidian,2020-12-18,615.39
39,006 Nova,2020-03-10,42472.43
40,003 Noble,2021-06-01,57542.9
41,006 Nova,2021-05-02,197.17
42,038 Ok Pet,2020-09-25,12.25
43,001 Elite,2021-05-23,1717.09
44,003 Noble,2020-11-27,206236.93
45,006 Nova,2019-09-06,23500.53
46,038 Ok Pet,2021-05-24,8.48
47,006 Nova,2020-05-04,41285.06
48,006 Nova,2020-11-06,77417.02
49,012 Higienol,2021-03-05,9655.67
50,037 Cotidian,2019-10-24,605.39
51,001 Elite,2020-03-25,147223.7
52,001 Elite,2019-09-21,182260.11
53,037 Cotidian,2019-10-18,860.1
54,038 Ok Pet,2020-04-01,0.08
55,012 Higienol,2020-08-31,16660.65
56,001 Elite,2019-09-24,239647.0
57,036 Ladysoft,2020-03-10,5053.9
58,037 Cotidian,2021-06-19,1065.41
59,037 Cotidian,2021-06-13,6.13
60,038 Ok Pet,2021-05-21,13.23
61,001 Elite,2021-05-20,113617.99
62,012 Higienol,2020-08-28,12419.17
63,008 Babysec,2021-03-18,44167.83
64,003 Noble,2020-05-28,152373.87
65,006 Nova,2020-05-01,12926.39
66,012 Higienol,2021-03-02,10650.83
67,037 Cotidian,2019-10-21,802.07
68,006 Nova,2020-11-03,48066.38
69,037 Cotidian,2020-04-24,517.1
70,003 Noble,2020-06-03,213823.18
71,036 Ladysoft,2020-09-15,5055.56
72,001 Elite,2020-03-28,194894.25
73,008 Babysec,2020-01-28,40441.95
74,036 Ladysoft,2020-09-12,4759.7
75,008 Babysec,2020-01-25,41634.44
76,008 Babysec,2020-09-16,33346.44
77,037 Cotidian,2020-12-12,666.58
78,001 Elite,2019-09-27,224966.17
79,036 Ladysoft,2020-03-13,4895.92
80,038 Ok Pet,2021-05-18,3.11
81,037 Cotidian,2021-06-16,2346.58
82,001 Elite,2021-05-17,100970.4
83,003 Noble,2020-12-03,201114.2
84,008 Babysec,2021-03-21,1549.07
85,036 Ladysoft,2019-09-12,3079.15
86,037 Cotidian,2021-02-11,1028.0
87,003 Noble,2021-01-24,3646.27
88,006 Nova,2020-08-31,60843.97
89,036 Ladysoft,2020-03-16,3736.04
90,038 Ok Pet,2020-11-19,9.21
91,012 Higienol,2020-02-27,12780.66
92,003 Noble,2020-06-06,234693.85
93,008 Babysec,2020-11-16,59206.36
94,001 Elite,2021-01-18,120846.95
95,036 Ladysoft,2021-05-08,5364.6
96,012 Higienol,2020-03-01,60.25
97,003 Noble,2019-12-03,178353.27
98,001 Elite,2019-11-30,286037.83
99,006 Nova,2021-03-05,57636.7
100,038 Ok Pet,2021-05-27,3.36
101,008 Babysec,2019-09-28,41203.82
102,037 Cotidian,2019-12-24,903.41
103,036 Ladysoft,2020-03-19,3552.31
104,001 Elite,2019-11-24,3361.09
105,008 Babysec,2021-05-24,35486.98
106,037 Cotidian,2020-08-12,967.18
107,012 Higienol,2020-09-03,22093.31
108,006 Nova,2020-03-01,239.91
109,006 Nova,2020-09-03,57349.33
110,003 Noble,2019-11-30,464500.27
111,036 Ladysoft,2021-05-11,4682.49
112,001 Elite,2021-01-15,127596.17
113,038 Ok Pet,2020-05-23,4.83
114,008 Babysec,2020-11-19,33273.71
115,037 Cotidian,2021-02-14,4.88
116,012 Higienol,2020-03-04,13084.21
117,036 Ladysoft,2021-05-05,3974.67
118,038 Ok Pet,2020-11-25,12.29
119,003 Noble,2019-12-06,189110.33
120,008 Babysec,2021-05-21,51168.34
121,008 Babysec,2019-09-25,41856.73
122,036 Ladysoft,2019-09-15,183.1
123,037 Cotidian,2019-12-21,818.92
124,001 Elite,2019-11-27,215810.93
125,006 Nova,2021-04-26,42851.04
126,037 Cotidian,2020-06-18,1050.97
127,001 Elite,2019-11-21,235268.46
128,006 Nova,2020-07-14,50258.04
129,008 Babysec,2021-01-03,334.45
130,003 Noble,2021-03-13,197151.38
131,036 Ladysoft,2020-05-26,5912.02
132,006 Nova,2020-07-20,62865.94
133,012 Higienol,2020-04-15,15305.09
134,012 Higienol,2020-10-18,73.25
135,001 Elite,2021-03-07,1447.2
136,037 Cotidian,2020-03-04,738.89
137,001 Elite,2021-03-01,65840.51
138,038 Ok Pet,2021-01-12,9.92
139,037 Cotidian,2020-09-06,12.75
140,003 Noble,2020-01-23,186404.67
141,036 Ladysoft,2020-11-28,5607.24
142,008 Babysec,2019-11-12,36167.4
143,038 Ok Pet,2021-01-06,2.92
144,001 Elite,2020-01-14,232944.27
145,006 Nova,2021-01-19,78953.3
146,001 Elite,2020-01-11,217636.23
147,003 Noble,2021-03-10,167181.75
148,012 Higienol,2021-06-10,16350.59
149,008 Babysec,2020-12-31,94313.86
150,001 Elite,2021-03-04,106219.56
151,003 Noble,2020-01-17,164012.37
152,003 Noble,2020-07-21,180589.45
153,006 Nova,2020-07-17,49855.37
154,008 Babysec,2021-01-06,38266.5
155,038 Ok Pet,2020-07-07,1.29
156,003 Noble,2020-01-20,157751.87
157,036 Ladysoft,2021-05-30,193.49
158,038 Ok Pet,2021-01-09,13.83
159,012 Higienol,2020-04-18,13878.23
160,036 Ladysoft,2020-05-23,4278.07
161,037 Cotidian,2020-09-03,886.46
162,012 Higienol,2019-10-15,20203.41
163,036 Ladysoft,2020-11-25,4928.97
164,001 Elite,2020-01-08,272550.89
165,036 Ladysoft,2021-01-19,4905.14
166,012 Higienol,2021-06-13,282.5
167,037 Cotidian,2020-01-09,688.39
168,008 Babysec,2019-11-06,42005.58
169,038 Ok Pet,2020-07-13,0.08
170,001 Elite,2020-07-12,2282.63
171,036 Ladysoft,2019-11-28,3924.46
172,036 Ladysoft,2020-06-01,3983.57
173,008 Babysec,2020-05-10,248.0
174,012 Higienol,2020-12-09,11237.75
175,003 Noble,2020-09-14,172072.02
176,012 Higienol,2020-04-21,11402.31
177,012 Higienol,2020-12-12,15384.51
178,006 Nova,2020-01-22,28121.82
179,006 Nova,2020-01-16,23822.8
180,012 Higienol,2019-10-18,18996.77
181,036 Ladysoft,2020-05-29,6775.72
182,012 Higienol,2019-10-24,19592.21
