,SKU,Fecha,Cantidad
5,PH ELITE DUO  DH 6 x 8  25 METROS,2020-11-05,7173.42
10,PH ELITE PLUS DH 24 X 2,2020-08-15,1541.5
17,PH ELITE  DH 4 X 12 LA,2020-01-25,17875.39
18, PH ELITE PLUS DH VERTICAL 6 X 8,2020-02-20,1576.78
22,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2021-03-23,3888.5
35,PH HIGIENOL DH 4x6 40 METROS,2019-10-02,5784.28
38,PH ELITE DH 24 X 2 LA,2020-11-20,10690.5
39,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2019-11-24,52.5
47,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2019-09-06,443.58
49,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-04-22,234.02
52,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-06-19,1083.79
53,PH NOBLE DH 24 X 2,2020-11-25,2447.5
66,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-07-15,0.67
70,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-03-06,126.4
71,PH ELITE  DH 4 X 12 LA,2021-03-15,7591.94
72,PH ELITE DH 2 X 10 LA,2021-03-17,21570.5
74,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-12-29,17.57
75,RC NOVA DH MEGAROLLO  1 X 12,2021-03-05,47582.06
76,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-03-02,52.34
82,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-10-20,7.67
83,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-08-25,630.0
89,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-06-19,4997.5
103,PH HIGIENOL DH 4x6 40 METROS,2020-06-27,2399.25
104,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-06-27,2839.0
108,PH ELITE CLÁSICO DH 2 X 10 CO,2020-06-16,4410.9
113,PH ELITE PLUS DH 24 X 2,2020-05-07,1024.0
115,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-06-08,247.23
120,PH ELITE DH 2 X 10 LA,2020-08-06,31826.9
121,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2021-04-21,23.38
124,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-03-15,554.38
128,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-01-16,156.72
131,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2021-06-23,3232.0
145, PH ELITE PLUS DH VERTICAL 6 X 8,2021-05-26,511.5
146,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2019-11-03,57.5
