,Categoria,Fecha,Soles
0,10 Toallas Femeninas,2019-12-09,201986.46
1,03 Servilletas Masivos,2020-09-07,300435.97
2,03 Servilletas Masivos,2021-03-12,294351.22
3,11 Toallas Húmedas,2021-05-11,54831.72
4,04 Pañuelos Masivos,2020-06-23,7686.63
5,11 Toallas Húmedas,2019-09-18,52445.37
6,38 Pañales Adultos,2019-10-18,78778.63
7,05 Pañales Bebe,2020-03-25,1249590.71
8,04 Pañuelos Masivos,2020-12-26,2580.94
9,10 Toallas Femeninas,2021-01-30,348510.2
10,04 Pañuelos Masivos,2020-06-20,5841.04
11,01 Higiénicos Masivos,2021-01-04,3512284.56
12,02 Rollos de Cocina,2020-09-28,1037073.7
13,05 Pañales Bebe,2019-09-21,1858155.38
14,10 Toallas Femeninas,2019-12-06,174562.69
15,01 Higiénicos Masivos,2019-11-10,80949.61
16,01 Higiénicos Masivos,2020-07-02,5283441.35
17,11 Toallas Húmedas,2020-11-06,75046.67
18,38 Pañales Adultos,2020-12-09,61224.01
19,05 Pañales Bebe,2021-05-17,1731162.01
20,11 Toallas Húmedas,2020-11-12,72919.69
21,10 Toallas Femeninas,2019-12-12,232815.71
22,03 Servilletas Masivos,2020-09-10,306237.5
23,01 Mascotas,2020-07-23,2087.63
24,38 Pañales Adultos,2021-06-13,250.93
25,05 Pañales Bebe,2020-03-22,5293.99
26,04 Pañuelos Masivos,2020-06-26,9490.83
27,02 Rollos de Cocina,2020-09-22,1378722.3
28,03 Servilletas Masivos,2021-03-15,335083.48
29,02 Rollos de Cocina,2020-09-25,1326808.16
30,05 Pañales Bebe,2020-03-28,1668198.66
31,11 Toallas Húmedas,2020-11-09,50390.88
32,38 Pañales Adultos,2020-12-12,56202.73
33,01 Mascarilla ,2021-05-06,1690.0
34,01 Higiénicos Masivos,2020-06-29,5685354.78
35,11 Toallas Húmedas,2021-05-14,97732.08
36,10 Toallas Femeninas,2020-06-12,266257.3
37,02 Rollos de Cocina,2020-03-23,1030714.43
38,05 Pañales Bebe,2021-05-14,1545837.65
39,38 Pañales Adultos,2020-12-06,1269.91
40,01 Higiénicos Masivos,2020-01-01,37782.92
41,02 Rollos de Cocina,2020-04-01,894046.43
42,10 Toallas Femeninas,2020-08-03,208881.54
43,03 Servilletas Masivos,2020-09-13,7952.89
44,02 Rollos de Cocina,2019-09-28,853992.33
45,38 Pañales Adultos,2021-06-10,61226.4
46,04 Pañuelos Masivos,2020-06-29,9255.65
47,38 Pañales Adultos,2021-06-04,52426.56
48,11 Toallas Húmedas,2021-05-05,85013.21
49,04 Pañuelos Masivos,2021-02-16,4525.49
50,11 Toallas Húmedas,2020-03-16,50598.28
51,05 Pañales Bebe,2020-11-18,2958884.01
52,11 Toallas Húmedas,2019-09-12,42594.3
53,01 Mascarilla ,2021-05-09,12.63
54,38 Pañales Adultos,2020-04-18,79739.32
55,10 Toallas Femeninas,2021-02-05,247126.17
56,03 Servilletas Masivos,2020-09-16,277874.82
57,02 Rollos de Cocina,2020-03-26,1173023.83
58,01 Mascarilla ,2020-11-04,2030.11
59,05 Pañales Bebe,2019-09-27,2368079.07
60,05 Pañales Bebe,2021-05-23,102303.6
61,01 Mascotas,2020-09-16,1771.47
62,03 Servilletas Masivos,2020-03-14,762291.47
63,04 Pañuelos Masivos,2019-12-29,945.15
64,01 Higiénicos Masivos,2020-07-08,5116120.95
65,03 Servilletas Masivos,2021-05-06,287474.09
66,11 Toallas Húmedas,2021-05-08,80837.4
67,04 Pañuelos Masivos,2019-12-23,15079.65
68,01 Higiénicos Masivos,2020-01-04,4656185.6
69,38 Pañales Adultos,2021-06-07,62057.39
70,02 Rollos de Cocina,2019-09-25,717948.24
71,01 Mascotas,2021-03-18,145.34
72,11 Toallas Húmedas,2019-09-15,1680.74
73,02 Rollos de Cocina,2021-05-18,1413755.3
74,38 Pañales Adultos,2019-10-15,73434.4
75,02 Rollos de Cocina,2021-05-21,1323707.0
76,11 Toallas Húmedas,2020-03-19,24773.24
77,38 Pañales Adultos,2019-10-12,96414.83
78,10 Toallas Femeninas,2021-02-02,219467.85
79,05 Pañales Bebe,2019-09-24,2598119.24
80,05 Pañales Bebe,2020-11-15,49092.15
