,Distribuidor,Fecha,Soles
1,ECONOMYSA,2019-09-02,109992.45
3,SAUL,2019-09-02,54670.88
4,STA APOLONIA - T,2019-09-02,108227.49
5,VEGA - ESTE,2019-09-02,33950.81
6,DACIA - LIMA,2019-09-03,19372.08
8,DIPSA-ANDAHUAYLAS,2019-09-03,19696.9
9,LAGUI,2019-09-03,214020.17
10,MYL_HERMANOS,2019-09-03,201097.16
11,CASA GRANDE,2019-09-04,125728.25
12,LA GENOVESA - TACNA,2019-09-04,26561.68
15,CODIFER,2019-09-05,70903.65
16,DICOBELSA - LIMA,2019-09-05,47327.27
17,EDUFARMA MERCADO,2019-09-05,116261.53
18,GUMISA - HUARAZ,2019-09-05,35684.02
19,MELVIN MICHEL AL,2019-09-05,185606.06
20,VEGA - CENTRO,2019-09-05,45821.89
21,VEGA - NORTE,2019-09-05,104613.6
22,AGA - MOYOBAMBA,2019-09-06,25047.77
23,ALMACENES_SEVILLANO,2019-09-06,6139.5
24,LIDER - TRUJILLO,2019-09-06,7764.94
25,PATITA SAC,2019-09-06,68258.47
26,RICMAN,2019-09-06,62563.29
27,TAMBOS LIMA,2019-09-06,172376.02
28,TCA SAC,2019-09-06,43346.91
29,TEMMY,2019-09-06,38485.93
30,5M DISTRIBUCIONES,2019-09-07,16112.07
31,DIJISA - ICA,2019-09-07,9967.02
33,DROGUERIA SAN MARTIN,2019-09-07,19899.7
34,VEGA - ESTE,2019-09-07,61145.67
35,AGA - JAEN,2019-09-09,62402.31
37,DIJISA - LIMA,2019-09-09,19984.78
38,DIPSA-AYACUCHO,2019-09-09,121260.28
39,JRC - ICA,2019-09-09,48643.27
42,SAN JUAN,2019-09-09,74883.68
43,VEGA - SUR,2019-09-09,39243.29
45,CODIJISA - PIURA,2019-09-10,204528.7
46,CURTIS ESTE,2019-09-10,9217.4
47,DIJISA - CHINCHA,2019-09-10,30303.95
48,DISTRIBUIDORA CCM,2019-09-10,677564.83
50,DYCART,2019-09-10,26505.1
51,KONSUMASS,2019-09-10,145590.57
52,LA GENOVESA - MOQUEGUA,2019-09-10,636.58
53,LANCERO - HUANUCO,2019-09-10,3836.07
54,TAMBOS AQP,2019-09-10,84421.12
55,ECONOMYSA,2019-09-11,75481.86
56,ESTILOS,2019-09-11,9077.02
57,GRUPO SVS,2019-09-11,212798.55
59,P&PJ CHINCHA,2019-09-11,89105.87
60,RICMAN,2019-09-11,97611.79
61,SAUL,2019-09-11,58755.44
62,SIPAN - Y,2019-09-11,146564.28
63,DACIA - LIMA,2019-09-12,34906.7
65,DIPSA-ANDAHUAYLAS,2019-09-12,16841.76
66,LAGUI,2019-09-12,29439.66
67,LIDER - CHEPEN,2019-09-12,2317.36
68,PANAM,2019-09-12,24012.13
69,CHUPACA BUSINESS,2019-09-13,79060.66
70,MOLISAC,2019-09-13,122327.99
73,CODIFER,2019-09-14,42177.46
74,CORPORACION_VEGA,2019-09-14,35389.26
75,DICOBELSA - LIMA,2019-09-14,46012.81
76,EDUFARMA MERCADO,2019-09-14,83715.62
77,FERROL,2019-09-14,23613.39
78,GUMISA - HUARAZ,2019-09-14,115441.05
79,JRC - NAZCA,2019-09-14,10863.07
80,MELVIN MICHEL AL,2019-09-14,135.0
82,SAN JUAN,2019-09-14,10340.35
83,VEGA - CENTRO,2019-09-14,47266.38
84,CALLAYUC,2019-09-16,347004.89
85,CURTIS NORTE,2019-09-16,4993.37
86,DIJISA - ICA,2019-09-16,12874.34
87,DROGUERIA SAN MARTIN,2019-09-16,46902.3
89,AGA - TARAPOTO,2019-09-17,12339.67
90,EUROVA,2019-09-17,158459.78
91,GIANELA,2019-09-17,32726.43
92,LANCERO - LA MERCED,2019-09-17,1062.29
93,STA APOLONIA - CH,2019-09-17,67763.11
94,CODIJISA - CHIMBOTE,2019-09-18,31144.03
96,DIJISA - LIMA,2019-09-18,13780.87
97,LYG-CD_SAC,2019-09-18,268301.68
99,CODIJISA - PIURA,2019-09-19,135540.72
100,CURTIS ESTE,2019-09-19,11740.08
101,DIJISA - CHINCHA,2019-09-19,12964.76
102,DIPSA-ABANCAY,2019-09-19,3937.7
104,KONSUMASS,2019-09-19,87214.72
105,LA GENOVESA - MOQUEGUA,2019-09-19,319.3
106,RODAMEOS,2019-09-19,43912.29
107,SODALES,2019-09-19,76533.13
108,TAMBOS AQP,2019-09-19,37391.1
109,URBANO,2019-09-19,50678.56
110,CODIJISA - TRUJILLO,2019-09-20,52165.86
111,DIJISA - AYACUCHO,2019-09-20,8073.19
112,DIJISA - HUANCAYO,2019-09-20,22058.81
113,EDUSA,2019-09-20,38205.22
114,ESTILOS,2019-09-20,3794.95
115,GRUPO SVS,2019-09-20,137419.49
117,P&PJ CHINCHA,2019-09-20,58901.24
118,SIPAN - Y,2019-09-20,188757.73
119,ARCANGEL,2019-09-21,97603.01
120,LIDER - CHEPEN,2019-09-21,4068.78
121,PANAM,2019-09-21,52074.97
123,CORPORACION_VEGA,2019-09-23,41748.18
124,FERROL,2019-09-23,39782.64
125,JRC - NAZCA,2019-09-23,9407.61
127,MARRACHE,2019-09-24,24951.16
128,CALLAYUC,2019-09-25,149678.49
129,CURTIS NORTE,2019-09-25,7582.32
130,DISART,2019-09-25,75117.05
132,GIANELA,2019-09-26,133761.24
133,MYG,2019-09-26,6482.96
134,STA APOLONIA - CH,2019-09-26,77033.85
135,TAYMI,2019-09-26,354152.83
136,CODIJISA - CHIMBOTE,2019-09-27,39601.83
137,LYG-CD_SAC,2019-09-27,79246.69
139,STA APOLONIA - T,2019-09-27,98248.75
140,DIPSA-ABANCAY,2019-09-28,8376.35
141,MYL_HERMANOS,2019-09-28,292539.14
142,RODAMEOS,2019-09-28,52261.68
143,SODALES,2019-09-28,210399.28
144,URBANO,2019-09-28,49189.53
145,ARCANGEL,2019-09-30,277791.94
147,AGA - MOYOBAMBA,2019-10-01,2640.1
149,ALMACENES_SEVILLANO,2019-10-01,584.4
150,LA GENOVESA - ILO,2019-10-01,1790.03
151,LANCERO - TINGO MARIA,2019-10-01,2451.37
153,AGA - TARAPOTO,2019-09-03,11141.37
155,LA GENOVESA - MOQUEGUA,2019-09-03,662.72
156,URBANO,2019-09-03,42424.44
157,CODIJISA - TRUJILLO,2019-09-04,67638.7
158,DIJISA - AYACUCHO,2019-09-04,17656.63
159,GRUPO SVS,2019-09-04,95290.6
163,CURTIS NORTE,2019-09-05,5996.53
164,JRC - NAZCA,2019-09-05,14382.52
165,URBANO,2019-09-05,32976.88
166,CODIJISA - TRUJILLO,2019-09-06,43246.7
167,DIJISA - HUANCAYO,2019-09-06,7934.37
168,EDUSA,2019-09-06,36581.82
169,GRUPO SVS,2019-09-06,174998.51
170,LA GENOVESA - ILO,2019-09-06,2738.27
171,LANCERO - TINGO MARIA,2019-09-06,13858.2
172,MOLISAC,2019-09-06,162817.47
173,SIPAN - Y,2019-09-06,184220.11
174,TAYMI,2019-09-06,407412.64
175,CURTIS NORTE,2019-09-07,7740.39
176,FERROL,2019-09-07,24490.34
177,JRC - NAZCA,2019-09-07,9697.49
179,STA APOLONIA - T,2019-09-09,115191.1
180,MYG,2019-09-10,13989.0
181,URBANO,2019-09-10,35733.88
182,CODIJISA - CHIMBOTE,2019-09-11,19768.14
183,PATITA SAC,2019-09-11,44981.93
184,MYG,2019-09-12,17555.7
185,MYL_HERMANOS,2019-09-12,258870.82
186,SODALES,2019-09-12,199805.21
187,URBANO,2019-09-12,102856.78
188,VEGA - NORTE,2019-09-12,87288.19
189,CASA GRANDE,2019-09-13,221829.5
190,CODIJISA - TRUJILLO,2019-09-13,26673.64
191,DIJISA - HUANCAYO,2019-09-13,12852.6
192,EDUSA,2019-09-13,36505.3
193,LA GENOVESA - ILO,2019-09-13,3350.2
194,LA GENOVESA - TACNA,2019-09-13,47853.04
197,TCA SAC,2019-09-13,60125.46
199,VEGA - NORTE,2019-09-14,101599.47
200,5M DISTRIBUCIONES,2019-09-16,33506.39
201,AGA - JAEN,2019-09-16,77087.44
202,DIPSA-AYACUCHO,2019-09-16,60916.38
204,STA APOLONIA - T,2019-09-16,143953.08
205,VEGA - SUR,2019-09-16,31686.01
208,MARRACHE,2019-09-17,46356.91
209,MYG,2019-09-17,10323.67
211,TEMMY,2019-09-17,41537.51
212,AGA - JAEN,2019-09-18,17620.63
213,DISART,2019-09-18,254451.96
215,JRC - ICA,2019-09-18,30662.84
216,SAUL,2019-09-18,67711.13
217,DACIA - LIMA,2019-09-19,24873.17
218,DISTRIBUIDORA CCM,2019-09-19,698238.65
219,GUMISA - HUARAZ,2019-09-19,57541.32
220,LAGUI,2019-09-19,50039.83
221,LANCERO - HUANUCO,2019-09-19,4720.83
222,MYG,2019-09-19,8533.99
223,CASA GRANDE,2019-09-20,69966.35
224,LA GENOVESA - TACNA,2019-09-20,43346.53
226,RICMAN,2019-09-20,48425.71
227,DACIA - LIMA,2019-09-21,37863.17
228,DIPSA-ANDAHUAYLAS,2019-09-21,27921.6
229,LANCERO - HUANUCO,2019-09-21,3521.08
230,VEGA - NORTE,2019-09-21,106270.1
231,5M DISTRIBUCIONES,2019-09-23,33546.33
232,AGA - JAEN,2019-09-23,49221.63
233,DIPSA-ANDAHUAYLAS,2019-09-23,29861.15
234,EDUFARMA MERCADO,2019-09-23,83381.74
235,VEGA - SUR,2019-09-23,30981.38
236,AGA - MOYOBAMBA,2019-09-24,15622.17
237,CODIJISA - PIURA,2019-09-24,223992.88
239,KONSUMASS,2019-09-24,40691.53
240,LANCERO - LA MERCED,2019-09-24,1816.78
241,TEMMY,2019-09-24,29610.62
242,5M DISTRIBUCIONES,2019-09-25,28763.28
243,AGA - JAEN,2019-09-25,24412.75
244,DIJISA - ICA,2019-09-25,13138.89
246,DROGUERIA SAN MARTIN,2019-09-25,114002.75
248,JRC - ICA,2019-09-25,16143.26
249,MELVIN MICHEL AL,2019-09-25,138733.28
250,CODIJISA - PIURA,2019-09-26,131608.24
251,DACIA - LIMA,2019-09-26,29848.17
252,DISTRIBUIDORA CCM,2019-09-26,571609.76
253,LA GENOVESA - MOQUEGUA,2019-09-26,1059.32
254,LANCERO - HUANUCO,2019-09-26,3638.07
255,LIDER - CHEPEN,2019-09-26,6079.57
256,TAMBOS AQP,2019-09-26,67445.06
258,DIJISA - ICA,2019-09-27,15967.82
259,ECONOMYSA,2019-09-27,81666.82
260,ESTILOS,2019-09-27,15050.95
262,JRC - ICA,2019-09-27,23127.12
263,P&PJ CHINCHA,2019-09-27,61644.5
265,VEGA - ESTE,2019-09-27,35771.46
266,DACIA - LIMA,2019-09-28,34190.63
267,DIJISA - CHINCHA,2019-09-28,22545.42
268,DIPSA-ANDAHUAYLAS,2019-09-28,58688.61
269,DISTRIBUIDORA CCM,2019-09-28,865350.34
270,LANCERO - HUANUCO,2019-09-28,3634.25
271,LIDER - CHEPEN,2019-09-28,4561.03
272,DIPSA-ANDAHUAYLAS,2019-09-30,18679.23
273,EDUFARMA MERCADO,2019-09-30,80053.72
274,FERROL,2019-09-30,40453.59
275,MELVIN MICHEL AL,2019-09-30,254472.37
277,PANAM,2019-09-30,106479.81
278,CHUPACA BUSINESS,2019-10-01,116050.19
279,DIJISA - AYACUCHO,2019-10-01,5756.49
280,LANCERO - LA MERCED,2019-10-01,471.02
281,CALLAYUC,2019-10-02,107824.7
282,CODIFER,2019-10-02,31249.85
283,CORPORACION_VEGA,2019-10-02,48238.92
284,DICOBELSA - LIMA,2019-10-02,45233.65
285,DIJISA - ICA,2019-10-02,18155.62
286,DROGUERIA SAN MARTIN,2019-10-02,17534.25
287,EDUFARMA MERCADO,2019-10-02,76890.58
288,LYG-CD_SAC,2019-10-02,86256.39
289,MELVIN MICHEL AL,2019-10-02,267.84
291,PANAM,2019-10-02,19989.53
292,VEGA - CENTRO,2019-10-02,24981.17
293,CODIJISA - PIURA,2019-10-03,109930.26
294,DIPSA-ABANCAY,2019-10-03,6289.45
295,LANCERO - LA MERCED,2019-10-03,1823.09
296,TAMBOS AQP,2019-10-03,19763.67
297,CALLAYUC,2019-10-04,222049.26
298,CODIJISA - CHIMBOTE,2019-10-04,22860.15
299,CORPORACION_VEGA,2019-10-04,44121.87
300,CURTIS NORTE,2019-10-04,4695.42
303,DIPSA-ANDAHUAYLAS,2019-09-02,32360.75
304,EDUFARMA MERCADO,2019-09-02,88901.64
305,MARRACHE,2019-09-02,23792.62
307,ZV,2019-09-02,111579.11
309,CODIJISA - PIURA,2019-09-03,145267.56
310,DISART,2019-09-03,41583.03
312,KONSUMASS,2019-09-03,141376.93
313,LANCERO - LA MERCED,2019-09-03,1129.59
314,CODIFER,2019-09-04,46015.0
315,DIJISA - ICA,2019-09-04,19403.76
316,DROGUERIA SAN MARTIN,2019-09-04,198983.66
317,EDUFARMA MERCADO,2019-09-04,41971.96
319,LANCERO - TINGO MARIA,2019-09-04,8102.41
320,MARRACHE,2019-09-04,39946.28
321,MELVIN MICHEL AL,2019-09-04,138908.9
322,TAYMI,2019-09-04,241581.85
323,CODIJISA - PIURA,2019-09-05,159111.9
324,DISART,2019-09-05,248962.88
325,LA GENOVESA - MOQUEGUA,2019-09-05,1428.78
326,LIDER - CHEPEN,2019-09-05,13512.33
327,TAMBOS AQP,2019-09-05,44051.55
329,DIJISA - ICA,2019-09-06,15532.08
330,ESTILOS,2019-09-06,7137.69
332,P&PJ CHINCHA,2019-09-06,109558.51
333,CASA GRANDE,2019-09-07,213432.82
334,CURTIS ESTE,2019-09-07,15214.92
