,Marca,Fecha,Soles
0,003 Noble,2019-09-13,2186832.58
1,038 Ok Pet,2020-09-05,140.12
2,008 Babysec,2020-07-24,2351867.4
3,008 Babysec,2021-01-26,2036936.91
4,012 Higienol,2019-09-05,572702.23
5,006 Nova,2020-12-30,1447990.18
6,001 Elite,2020-12-11,3352650.95
7,036 Ladysoft,2021-02-19,216843.56
8,003 Noble,2021-05-15,1148546.88
9,012 Higienol,2021-04-28,408071.73
10,012 Higienol,2020-10-24,295515.87
11,038 Ok Pet,2021-03-10,1954.74
12,037 Cotidian,2021-01-07,94165.24
13,012 Higienol,2020-03-03,366820.03
14,003 Noble,2021-05-12,1268850.57
15,036 Ladysoft,2021-02-22,257340.67
16,001 Elite,2020-12-14,3879982.28
17,001 Elite,2019-10-20,556954.51
18,036 Ladysoft,2019-12-29,43650.43
19,038 Ok Pet,2020-03-06,258.61
20,003 Noble,2019-09-16,1882141.83
21,037 Cotidian,2020-07-05,3150.52
22,006 Nova,2020-06-27,627297.09
23,006 Nova,2020-12-27,78841.9
24,001 Elite,2020-12-08,3044023.51
25,003 Noble,2020-03-20,1763698.76
26,038 Ok Pet,2020-09-08,439.28
27,008 Babysec,2019-12-02,1602690.79
28,036 Ladysoft,2021-02-16,217349.41
29,012 Higienol,2021-04-25,4808.1
30,003 Noble,2020-11-07,2318387.55
31,012 Higienol,2020-10-21,323173.6
32,038 Ok Pet,2020-09-02,282.52
33,003 Noble,2021-05-09,34623.48
34,037 Cotidian,2020-07-02,130494.67
35,037 Cotidian,2021-01-04,62607.07
36,012 Higienol,2019-09-02,407513.29
37,006 Nova,2021-01-02,234623.18
38,003 Noble,2019-09-19,1847581.34
39,008 Babysec,2021-01-23,2677056.26
40,001 Elite,2020-06-08,3565700.72
41,008 Babysec,2020-07-21,2118588.52
42,037 Cotidian,2020-07-08,86945.2
43,001 Elite,2020-12-05,3398787.15
44,003 Noble,2020-11-10,2315672.23
45,003 Noble,2020-11-16,3087716.82
46,008 Babysec,2019-11-29,2799041.84
47,006 Nova,2020-01-02,161642.78
48,001 Elite,2021-06-09,2624492.56
49,037 Cotidian,2020-12-29,95317.13
50,037 Cotidian,2019-11-07,71846.1
51,036 Ladysoft,2020-08-20,241576.01
52,038 Ok Pet,2020-03-12,143.59
53,006 Nova,2020-07-03,914806.58
54,012 Higienol,2020-10-30,308688.94
55,008 Babysec,2021-01-20,2683200.86
56,008 Babysec,2020-05-30,3045670.23
57,036 Ladysoft,2020-08-26,240985.42
58,037 Cotidian,2019-11-13,72245.14
59,012 Higienol,2020-04-27,340886.11
60,001 Elite,2019-10-14,4108617.1
61,001 Elite,2020-04-17,4204795.41
62,003 Noble,2020-05-14,2919994.8
63,003 Noble,2020-11-13,2498915.1
64,008 Babysec,2019-11-26,2226203.08
