,SKU,Fecha,Soles
5,PH ELITE DUO  DH 6 x 8  25 METROS,2020-11-05,247282.27
12,PH ELITE PLUS DH 24 X 2,2020-08-15,43403.79
17,PH ELITE  DH 4 X 12 LA,2020-01-25,506370.56
18, PH ELITE PLUS DH VERTICAL 6 X 8,2020-02-20,42289.44
23,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2021-03-23,217698.83
34,PH HIGIENOL DH 4x6 40 METROS,2019-10-02,138096.91
38,PH ELITE DH 24 X 2 LA,2020-11-20,297017.9
39,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2019-11-24,2624.92
49,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2020-04-22,9818.31
51,TF LADYSOFT NORMAL CON ALAS 42 X 8 ASS,2019-09-06,26932.17
53,PH NOBLE DH 24 X 2,2020-11-25,56302.19
54,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2020-06-19,31198.55
66,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-07-15,58.98
67,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-03-06,9690.58
71,RC NOVA DH MEGAROLLO  1 X 12,2021-03-05,779628.62
72,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-12-29,1325.37
74,PH ELITE  DH 4 X 12 LA,2021-03-15,210682.94
75,PH ELITE DH 2 X 10 LA,2021-03-17,294962.7
76,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-03-02,3649.11
82,PL PAÑAL BABYSEC SPCTOTAL MEGA XG 40 X 3,2020-10-20,529.85
84,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2020-08-25,39970.59
88,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2020-06-19,264386.02
94,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-07-14,308309.79
98,TH TOALLAS HUM.BABYSEC PREMIUM 150x8,2021-02-15,9146.41
99,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-02-19,125232.71
102,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-01-17,312.71
103,RC NOVA DH MEGAROLLO  2 X 6,2020-11-15,2060.17
104,SE ELITE PRACTICA 100 X 12 PAQ X BOLSA,2021-06-10,12382.98
105,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-01-15,427640.07
109,PH ELITE DH 2 X 10 LA,2019-09-26,664321.39
120,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-07-30,58795.54
125,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2019-11-26,246474.47
141,PH ELITE  DH 4 X 12 LA,2020-10-20,413907.41
147, PH ELITE PLUS DH VERTICAL 6 X 8,2020-06-22,15842.24
149,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-10-19,313500.42
150,PH ELITE PLUS DH 24 X 2,2021-03-18,26161.74
151,PH ELITE DUO  DH 6 x 8  25 METROS,2020-05-20,475524.27
158,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-01-11,58364.52
162,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-09-16,48072.82
169,RC NOVA DH MEGAROLLO  2 X 6,2020-12-08,80282.21
172,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2021-03-15,207464.34
174,TF LADYSOFT NOCTURNA CON ALAS 8 X 24 INN,2020-06-10,370.24
177,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2021-02-13,122607.16
181,PL PAÑAL BABYSEC RECIEN NACIDO 20 X10 MX,2021-02-11,13203.08
