,Categoria,Fecha,Toneladas
0,02 Rollos de Cocina,2020-07-04,38.859774
1,03 Servilletas Masivos,2020-03-05,19.671897
2,04 Pañuelos Masivos,2020-03-29,0.000862
3,02 Rollos de Cocina,2019-12-31,30.88017
4,38 Pañales Adultos,2021-03-02,222710.7968
5,38 Pañales Adultos,2020-01-09,214159.4688
6,01 Higiénicos Masivos,2021-03-25,148.750843
7,01 Mascotas,2020-10-20,67086.774
8,05 Pañales Bebe,2020-09-27,25165.9544
9,10 Toallas Femeninas,2019-09-14,4760060.4816
10,02 Rollos de Cocina,2021-02-21,0.960412
11,01 Mascarilla ,2021-05-03,187600.0
12,04 Pañuelos Masivos,2021-05-21,0.0824
13,03 Servilletas Masivos,2021-04-27,8.707413
14,11 Toallas Húmedas,2019-11-03,65444.48
15,11 Toallas Húmedas,2020-05-04,2484074.784
16,01 Mascarilla ,2020-10-29,222000.0
17,01 Higiénicos Masivos,2020-02-04,135.109184
18,05 Pañales Bebe,2020-09-30,3490267.2024
19,11 Toallas Húmedas,2019-10-31,2836144.736
20,10 Toallas Femeninas,2021-05-10,6575812.7984
21,04 Pañuelos Masivos,2019-09-28,0.228494
22,05 Pañales Bebe,2021-04-04,30603.9304
23,01 Mascotas,2020-04-14,90.018
24,10 Toallas Femeninas,2020-11-05,6587085.9536
25,03 Servilletas Masivos,2020-03-08,0.589787
26,04 Pañuelos Masivos,2020-04-01,0.119697
27,38 Pañales Adultos,2020-07-13,156138.0736
28,10 Toallas Femeninas,2020-11-08,228515.7056
29,01 Higiénicos Masivos,2021-03-28,2.014313
30,02 Rollos de Cocina,2019-12-28,26.527289
31,03 Servilletas Masivos,2020-03-02,12.284286
32,10 Toallas Femeninas,2020-05-06,7720321.392
33,38 Pañales Adultos,2021-03-05,87790.144
34,04 Pañuelos Masivos,2021-05-24,0.168799
35,01 Higiénicos Masivos,2020-09-23,145.924565
36,01 Mascotas,2020-10-17,41532.516
37,10 Toallas Femeninas,2019-09-17,4850257.2096
38,01 Mascarilla ,2021-04-30,298400.0
39,01 Mascotas,2020-10-14,24004.8
40,11 Toallas Húmedas,2020-05-07,2457066.656
41,38 Pañales Adultos,2020-01-12,30188.0
42,01 Higiénicos Masivos,2020-02-01,80.881737
43,01 Mascarilla ,2020-10-26,129200.0
44,03 Servilletas Masivos,2019-09-01,0.130741
45,04 Pañuelos Masivos,2019-09-25,0.250094
46,10 Toallas Femeninas,2021-05-13,4940475.2528
47,02 Rollos de Cocina,2020-07-01,48.70355
48,05 Pañales Bebe,2021-04-01,640996.0736
49,02 Rollos de Cocina,2021-02-27,50.471429
50,05 Pañales Bebe,2019-09-30,3788317.2866
51,10 Toallas Femeninas,2020-11-11,7429142.4576
52,03 Servilletas Masivos,2020-10-29,7.459862
53,04 Pañuelos Masivos,2020-11-22,0.001711
54,11 Toallas Húmedas,2020-10-31,4169170.1824
55,05 Pañales Bebe,2020-04-03,1963645.0896
56,01 Higiénicos Masivos,2021-03-31,319.301379
57,10 Toallas Femeninas,2020-05-09,7754684.8528
58,01 Higiénicos Masivos,2020-09-26,141.266197
59,05 Pañales Bebe,2020-10-06,2209287.6602
60,01 Mascotas,2021-06-09,56720.88
61,04 Pañuelos Masivos,2021-05-27,0.166683
62,03 Servilletas Masivos,2021-05-03,4.916086
63,10 Toallas Femeninas,2019-11-08,6862705.1136
64,38 Pañales Adultos,2021-01-09,308034.7072
65,03 Servilletas Masivos,2019-09-10,19.157141
66,04 Pañuelos Masivos,2019-10-04,0.201739
67,11 Toallas Húmedas,2020-04-28,1887372.736
68,03 Servilletas Masivos,2019-09-04,18.674221
69,38 Pañales Adultos,2020-07-07,166408.496
70,11 Toallas Húmedas,2020-10-28,5320492.8704
71,04 Pañuelos Masivos,2021-05-30,0.001464
72,38 Pañales Adultos,2020-01-06,146262.72
73,03 Servilletas Masivos,2020-10-26,7.074776
74,04 Pañuelos Masivos,2020-11-25,0.212233
75,02 Rollos de Cocina,2021-02-24,34.254026
76,03 Servilletas Masivos,2021-04-30,9.275998
77,05 Pañales Bebe,2020-03-31,2287269.9864
78,10 Toallas Femeninas,2020-05-12,7496758.088
79,01 Mascotas,2021-06-12,6001.92
80,05 Pañales Bebe,2020-10-03,1601509.3902
81,01 Higiénicos Masivos,2020-09-29,169.956134
82,01 Mascarilla ,2020-11-01,2000.0
83,05 Pañales Bebe,2021-05-26,2876164.8608
84,03 Servilletas Masivos,2019-09-07,15.314371
85,04 Pañuelos Masivos,2019-10-01,0.188469
86,02 Rollos de Cocina,2020-01-03,19.111843
87,11 Toallas Húmedas,2019-09-09,1839164.192
88,11 Toallas Húmedas,2020-11-03,2304855.2576
89,01 Higiénicos Masivos,2020-03-27,126.587744
90,11 Toallas Húmedas,2020-05-01,365986.4
91,38 Pañales Adultos,2020-07-10,131674.4896
92,02 Rollos de Cocina,2020-08-25,44.946069
93,04 Pañuelos Masivos,2020-05-23,0.069494
94,01 Mascotas,2020-12-11,84150.018
95,11 Toallas Húmedas,2020-07-04,2098412.862
96,01 Mascarilla ,2020-09-01,6000.0
97,38 Pañales Adultos,2019-09-06,256120.864
98,10 Toallas Femeninas,2019-11-14,5520700.3072
99,01 Higiénicos Masivos,2019-09-29,5.471444
100,38 Pañales Adultos,2020-03-10,180896.512
101,04 Pañuelos Masivos,2019-11-25,0.240631
102,11 Toallas Húmedas,2019-12-31,2663519.456
103,01 Higiénicos Masivos,2021-05-22,104.862755
104,01 Mascotas,2021-06-15,1560.978
105,05 Pañales Bebe,2020-11-27,2031027.981
106,01 Higiénicos Masivos,2021-05-25,146.475183
107,04 Pañuelos Masivos,2020-05-26,0.119349
108,03 Servilletas Masivos,2020-05-02,3.485315
109,02 Rollos de Cocina,2020-02-24,23.525472
110,10 Toallas Femeninas,2021-01-05,6447447.7408
111,38 Pañales Adultos,2020-09-12,161038.0768
112,05 Pañales Bebe,2021-05-29,2110617.205
113,38 Pañales Adultos,2019-09-08,1547.712
114,03 Servilletas Masivos,2021-01-08,10.061467
115,05 Pañales Bebe,2020-05-04,1812707.7576
116,01 Higiénicos Masivos,2019-10-24,138.123561
117,05 Pañales Bebe,2019-10-31,5169058.971
118,10 Toallas Femeninas,2020-08-11,9840006.0432
119,01 Higiénicos Masivos,2020-10-30,160.567839
120,03 Servilletas Masivos,2020-07-06,6.084587
121,03 Servilletas Masivos,2020-01-02,7.489252
122,01 Higiénicos Masivos,2020-04-27,175.558467
123,02 Rollos de Cocina,2020-11-04,46.225829
124,03 Servilletas Masivos,2020-01-05,0.430023
125,10 Toallas Femeninas,2020-08-17,7392619.7072
126,01 Mascotas,2020-06-16,9601.92
127,10 Toallas Femeninas,2020-02-10,6448790.4784
128,04 Pañuelos Masivos,2020-01-06,0.190194
129,02 Rollos de Cocina,2020-05-02,29.894479
130,04 Pañuelos Masivos,2021-03-02,0.14542
131,01 Mascotas,2020-06-10,110401.92
132,11 Toallas Húmedas,2020-09-30,4422638.1248
133,11 Toallas Húmedas,2021-04-04,129213.696
134,38 Pañales Adultos,2021-05-07,100506.4
135,38 Pañales Adultos,2021-05-01,576.096
136,04 Pañuelos Masivos,2020-08-28,0.16433
137,01 Higiénicos Masivos,2020-04-30,197.683106
138,38 Pañales Adultos,2019-09-05,139619.1488
139,38 Pañales Adultos,2019-09-11,148763.6544
140,04 Pañuelos Masivos,2021-02-27,0.290835
141,10 Toallas Femeninas,2020-02-13,6953364.192
142,02 Rollos de Cocina,2020-04-29,35.838072
143,05 Pañales Bebe,2019-10-28,2128489.2232
144,05 Pañales Bebe,2019-11-03,35423.7624
145,03 Servilletas Masivos,2020-07-09,8.043984
146,01 Higiénicos Masivos,2020-04-24,133.946956
147,11 Toallas Húmedas,2021-04-01,1649619.7792
148,38 Pañales Adultos,2020-10-30,138295.2512
149,10 Toallas Femeninas,2020-08-14,8594918.8672
150,02 Rollos de Cocina,2020-05-05,36.092143
151,11 Toallas Húmedas,2021-04-07,3659966.7064
152,04 Pañuelos Masivos,2020-08-25,0.25137
153,01 Mascotas,2020-12-16,743443.92
154,05 Pañales Bebe,2020-12-22,2227026.1588
155,01 Mascotas,2020-06-13,13561.938
156,01 Higiénicos Masivos,2021-06-19,117.145156
157,38 Pañales Adultos,2021-05-04,123261.76
158,01 Mascarilla ,2021-04-02,6000.0
159,01 Higiénicos Masivos,2020-12-21,160.666532
160,05 Pañales Bebe,2020-12-28,2675182.4954
161,38 Pañales Adultos,2019-09-02,128751.84
162,11 Toallas Húmedas,2020-02-05,2102401.952
163,10 Toallas Femeninas,2020-02-16,201616.8368
