,Distribuidor,Fecha,Toneladas
0,CALLAYUC,2019-09-02,120486.866619
1,CODIJISA - CHIMBOTE,2019-09-02,119689.909266
3,DIJISA - ICA,2019-09-02,67056.513653
4,ESTILOS,2019-09-02,4288.252496
6,LYG-CD_SAC,2019-09-02,249450.997689
7,P&PJ CHINCHA,2019-09-02,23338.793236
8,ARCANGEL,2019-09-03,15216.31794
9,DIJISA - CHINCHA,2019-09-03,15459.4372
10,DIPSA-ABANCAY,2019-09-03,22248.587883
11,LIDER - CHEPEN,2019-09-03,38872.662621
12,RODAMEOS,2019-09-03,101738.705962
13,SODALES,2019-09-03,27269.712071
14,CHUPACA BUSINESS,2019-09-04,119340.613993
15,DIJISA - HUANCAYO,2019-09-04,42452.92658
16,EDUSA,2019-09-04,192884.793672
17,ESTILOS,2019-09-04,680.265769
19,LA GENOVESA - ILO,2019-09-04,10920.060153
20,MOLISAC,2019-09-04,166658.131378
21,P&PJ CHINCHA,2019-09-04,47919.719981
22,SIPAN - Y,2019-09-04,135945.779574
23,ARCANGEL,2019-09-05,16984.16624
24,FERROL,2019-09-05,31500.403774
26,PANAM,2019-09-05,351343.8848
28,CHUPACA BUSINESS,2019-09-06,110820.841727
29,DIJISA - AYACUCHO,2019-09-06,56101.400504
30,MARRACHE,2019-09-06,23366.425338
32,ZV,2019-09-06,48619.557223
34,CALLAYUC,2019-09-07,71963.019855
35,CORPORACION_VEGA,2019-09-07,136756.004263
36,DISART,2019-09-07,64813.85776
37,LYG-CD_SAC,2019-09-07,263604.791043
39,PANAM,2019-09-07,101553.0214
40,CALLAYUC,2019-09-09,24123.50658
41,CODIJISA - CHIMBOTE,2019-09-09,64788.841407
42,CORPORACION_VEGA,2019-09-09,131160.067381
43,DISART,2019-09-09,65630.672839
44,LYG-CD_SAC,2019-09-09,64088.964152
45,ARCANGEL,2019-09-10,11336.547188
46,DIPSA-ABANCAY,2019-09-10,28352.72254
47,GIANELA,2019-09-10,261223.539981
48,RODAMEOS,2019-09-10,3089951.985746
49,SODALES,2019-09-10,78893.618614
50,STA APOLONIA - CH,2019-09-10,170954.631672
51,CASA GRANDE,2019-09-11,74744.744821
52,DIJISA - HUANCAYO,2019-09-11,43780.838648
53,EDUSA,2019-09-11,206289.606214
55,LA GENOVESA - TACNA,2019-09-11,77501.361675
58,STA APOLONIA - T,2019-09-11,244183.247205
59,ARCANGEL,2019-09-12,8724.346
60,RODAMEOS,2019-09-12,294875.749849
61,AGA - MOYOBAMBA,2019-09-13,14416.647241
62,PATITA SAC,2019-09-13,82360.898556
63,ZV,2019-09-13,100384.178986
64,5M DISTRIBUCIONES,2019-09-14,52796.654714
66,MYL_HERMANOS,2019-09-14,223820.835147
67,LIDER - TRUJILLO,2019-09-15,0.007848
69,DISART,2019-09-16,77134.587625
71,ECONOMYSA,2019-09-16,970142.470569
72,JRC - ICA,2019-09-16,58565.772406
75,VEGA - ESTE,2019-09-16,84244.963785
76,ALMACENES_SEVILLANO,2019-09-17,4176.466487
77,DISTRIBUIDORA CCM,2019-09-17,186469.627437
78,LANCERO - HUANUCO,2019-09-17,12960.312102
79,LANCERO - PUCALLPA,2019-09-17,27764.90327
80,LANCERO - TINGO MARIA,2019-09-17,10108.246628
81,LIDER - TRUJILLO,2019-09-17,0.489347
82,TAYMI,2019-09-17,117201.797866
