,Localidad,Fecha,Toneladas
0,AMAZONAS,2019-10-01,11232.642443
1,AMAZONAS,2019-10-02,2400.034635
2,AMAZONAS,2019-10-03,3400.044209
3,AMAZONAS,2019-10-04,18480.385085
4,AMAZONAS,2019-10-05,6912.031864
5,AMAZONAS,2019-10-07,12528.4151
6,AMAZONAS,2019-10-09,1152.407693
7,AMAZONAS,2019-10-10,3112.049798
8,AMAZONAS,2019-10-11,9944.301008
9,AMAZONAS,2019-10-12,599.533274
10,AMAZONAS,2019-10-14,9984.252208
11,AMAZONAS,2019-10-15,3188.334044
12,AMAZONAS,2019-10-16,14452.265005
13,AMAZONAS,2019-10-17,9884.09395
14,AMAZONAS,2019-10-18,9180.466168
15,AMAZONAS,2019-10-19,8180.112627
16,AMAZONAS,2019-10-21,3840.084566
17,AMAZONAS,2019-10-22,24600.760685
18,AMAZONAS,2019-10-23,3160.468842
19,AMAZONAS,2019-10-24,4320.02838
20,AMAZONAS,2019-10-25,5088.64591
21,AMAZONAS,2019-10-26,8064.052328
22,AMAZONAS,2019-10-28,0.009557
23,AMAZONAS,2019-10-29,16668.652719
24,AMAZONAS,2019-10-30,8496.124987
25,AMAZONAS,2019-10-31,40213.087132
26,AMAZONAS,2019-11-04,7672.004497
27,AMAZONAS,2019-11-05,20780.16027
28,AMAZONAS,2019-11-06,5936.245376
29,AMAZONAS,2019-11-07,3600.028669
30,AMAZONAS,2019-11-08,24096.427052
31,AMAZONAS,2019-11-09,5472.103266
32,AMAZONAS,2019-11-11,232.054818
33,AMAZONAS,2019-11-12,1424.305553
34,AMAZONAS,2019-11-13,4512.131234
35,AMAZONAS,2019-11-14,8492.169533
36,AMAZONAS,2019-11-15,20812.430362
37,AMAZONAS,2019-11-16,25056.099244
38,AMAZONAS,2019-11-18,19712.19387
39,AMAZONAS,2019-11-19,22936.116383
40,AMAZONAS,2019-11-20,212.205656
41,AMAZONAS,2019-11-21,15728.213346
42,AMAZONAS,2019-11-22,13100.311758
43,AMAZONAS,2019-11-25,7520.167286
44,AMAZONAS,2019-11-26,54900.974003
45,AMAZONAS,2019-11-27,9072.875854
46,AMAZONAS,2019-11-28,12472.531899
