,Marca,Fecha,Toneladas
0,008 Babysec,2020-02-06,3927791.0934
1,036 Ladysoft,2020-09-03,8264167.1104
2,001 Elite,2020-04-09,7.360608
3,036 Ladysoft,2020-03-01,61791.5744
4,003 Noble,2019-11-21,45.438262
5,001 Elite,2020-04-03,105.85078
6,008 Babysec,2021-03-30,4900841.9664
7,037 Cotidian,2021-06-25,158812.5952
8,038 Ok Pet,2021-05-15,8271.972
9,003 Noble,2020-05-22,47.577889
10,006 Nova,2020-04-25,21.449525
11,012 Higienol,2020-08-19,12.92909
12,006 Nova,2021-06-17,30.190298
13,006 Nova,2019-10-22,11.497544
14,037 Cotidian,2019-10-30,182592.6112
15,012 Higienol,2021-02-21,0.049997
16,038 Ok Pet,2020-11-10,27151.956
17,036 Ladysoft,2021-04-26,6851864.544
18,037 Cotidian,2019-10-27,1552.192
19,006 Nova,2021-06-14,34.142865
20,008 Babysec,2020-02-09,69333.3712
21,012 Higienol,2020-08-22,10.212591
22,008 Babysec,2020-02-03,3297923.3202
23,001 Elite,2020-04-06,134.193789
24,008 Babysec,2020-08-07,5276589.164
25,003 Noble,2019-11-18,44.533492
26,036 Ladysoft,2020-03-04,6669790.8896
27,037 Cotidian,2020-04-30,154206.9984
28,012 Higienol,2020-02-18,15.955948
29,006 Nova,2020-10-25,0.572349
30,038 Ok Pet,2021-05-12,34680.96
31,037 Cotidian,2021-06-22,203566.1376
32,006 Nova,2020-04-22,25.064844
33,008 Babysec,2021-03-27,4814693.1134
34,001 Elite,2020-10-06,24870.108711
35,006 Nova,2020-04-28,18.981884
36,003 Noble,2020-05-25,56.059075
37,001 Elite,2021-05-29,97762.609476
38,001 Elite,2019-10-03,94.529752
39,038 Ok Pet,2020-11-07,35745.876
40,012 Higienol,2020-02-21,16.103043
41,036 Ladysoft,2021-04-29,6307407.3632
42,037 Cotidian,2020-04-27,146517.168
43,001 Elite,2020-10-03,16059.458128
44,036 Ladysoft,2020-10-25,141301.0304
45,012 Higienol,2020-08-25,10.236902
46,003 Noble,2019-11-27,49.568754
47,001 Elite,2020-03-31,123.361067
48,008 Babysec,2020-01-31,5033895.784
49,006 Nova,2020-12-16,66.318057
50,006 Nova,2021-06-23,44.299122
51,003 Noble,2021-01-12,70.564206
52,037 Cotidian,2020-10-27,330381.7632
53,008 Babysec,2020-08-01,4027140.6002
54,036 Ladysoft,2021-05-02,5440.6144
55,008 Babysec,2021-02-03,5950518.1368
56,012 Higienol,2021-04-17,9.178771
57,036 Ladysoft,2019-09-06,5456361.064
58,003 Noble,2021-01-18,78.651717
59,001 Elite,2021-04-07,263291.56993
60,037 Cotidian,2021-05-01,576.096
61,001 Elite,2021-04-04,2002.687586
62,006 Nova,2019-10-28,11.761486
63,038 Ok Pet,2020-11-16,12903.858
64,012 Higienol,2020-02-24,13.046031
65,001 Elite,2020-09-30,4147.987756
66,038 Ok Pet,2020-05-14,540.0
67,037 Cotidian,2020-11-02,96817.5264
68,036 Ladysoft,2020-10-28,7237113.7424
69,006 Nova,2020-12-19,57.483064
70,003 Noble,2019-11-24,0.499811
71,036 Ladysoft,2020-03-07,6870143.1648
72,008 Babysec,2020-08-04,4451977.497
73,006 Nova,2021-06-20,0.507391
74,037 Cotidian,2020-10-30,138295.2512
75,036 Ladysoft,2019-09-03,3697582.3888
76,006 Nova,2019-10-31,18.67367
77,012 Higienol,2021-04-14,10.296874
78,038 Ok Pet,2020-11-13,101438.046
79,006 Nova,2019-10-25,12.026203
80,003 Noble,2021-01-15,66.059171
81,008 Babysec,2021-05-27,8318174.1126
82,012 Higienol,2020-10-16,10.704979
83,012 Higienol,2021-04-20,11.047113
84,036 Ladysoft,2020-05-01,1421057.104
85,003 Noble,2020-07-16,71.323141
86,006 Nova,2020-10-16,19.108115
87,003 Noble,2020-07-22,58.804959
88,008 Babysec,2020-10-07,5587582.3032
89,003 Noble,2020-01-18,43.25779
90,036 Ladysoft,2020-11-03,6423436.864
91,001 Elite,2020-12-03,52080.332568
92,006 Nova,2020-02-27,14.118988
93,036 Ladysoft,2020-04-28,7989054.9456
94,037 Cotidian,2020-06-27,136537.5808
95,008 Babysec,2020-04-01,3195678.2034
96,006 Nova,2021-04-17,21.559836
97,012 Higienol,2021-04-23,11.193124
98,003 Noble,2020-07-19,0.337445
99,001 Elite,2020-12-06,2001.682174
100,003 Noble,2021-01-21,61.02702
101,001 Elite,2020-06-03,141.604349
102,008 Babysec,2020-10-04,114496.0204
103,037 Cotidian,2020-12-30,337486.3712
104,006 Nova,2020-02-24,13.500468
105,038 Ok Pet,2020-05-20,4800.96
106,036 Ladysoft,2020-10-31,10879109.7696
107,012 Higienol,2020-10-19,10.224552
108,008 Babysec,2019-10-01,2488385.6356
109,037 Cotidian,2020-06-30,209459.2608
110,008 Babysec,2020-04-04,3875631.2628
111,038 Ok Pet,2021-01-07,32850.036
112,037 Cotidian,2019-12-27,136122.7936
113,006 Nova,2021-04-20,24.643826
114,036 Ladysoft,2019-09-09,5043569.5872
115,001 Elite,2019-10-06,2.230009
116,036 Ladysoft,2020-05-07,8731940.1904
117,037 Cotidian,2020-06-24,122195.1776
118,008 Babysec,2021-04-05,5111183.0412
119,003 Noble,2021-03-17,63.740954
120,012 Higienol,2020-10-22,11.634757
121,006 Nova,2020-10-22,25.498798
122,038 Ok Pet,2020-07-11,85351.014
123,006 Nova,2020-04-19,0.8728
124,001 Elite,2020-11-27,44076.024018
125,008 Babysec,2020-10-01,3843138.2278
126,037 Cotidian,2020-12-27,6475.712
127,003 Noble,2020-01-21,46.753979
128,006 Nova,2019-09-09,11.514825
129,036 Ladysoft,2021-03-08,7289370.0016
130,012 Higienol,2020-01-06,19.555084
131,038 Ok Pet,2020-09-28,46934.676
132,038 Ok Pet,2020-03-26,1200.96
133,036 Ladysoft,2021-03-14,50703.52
134,001 Elite,2020-11-18,62089.178679
135,008 Babysec,2020-09-25,4412695.6784
136,037 Cotidian,2020-12-21,243996.5536
137,006 Nova,2020-10-31,38.95238
138,036 Ladysoft,2020-09-09,4897268.496
139,006 Nova,2020-10-28,28.381072
140,003 Noble,2019-10-06,0.569493
141,003 Noble,2020-11-24,75.220442
142,006 Nova,2021-05-05,28.070355
143,001 Elite,2020-11-21,38060.844908
144,003 Noble,2021-05-29,56.887969
145,008 Babysec,2020-09-19,4866805.4332
146,037 Cotidian,2020-12-15,119409.6896
147,001 Elite,2019-09-30,201.639555
148,003 Noble,2020-11-30,145.392694
149,001 Elite,2021-05-26,155743.140022
150,012 Higienol,2021-02-27,15.844447
151,008 Babysec,2021-03-24,8462869.4782
152,038 Ok Pet,2020-03-23,180.036
153,036 Ladysoft,2021-03-11,5885416.288
154,012 Higienol,2020-01-03,11.91175
155,006 Nova,2019-09-12,11.432142
156,008 Babysec,2020-03-20,2800218.5894
157,036 Ladysoft,2020-09-06,64160.0
158,012 Higienol,2020-07-07,9.050328
159,003 Noble,2019-10-09,47.315077
160,037 Cotidian,2020-06-15,164009.8592
161,001 Elite,2020-05-19,116.51891
162,036 Ladysoft,2020-01-18,5258892.9504
163,012 Higienol,2021-02-24,9.986709
164,001 Elite,2020-11-24,60079.699724
165,008 Babysec,2020-09-22,4730754.2864
166,037 Cotidian,2020-12-18,123723.9808
167,006 Nova,2020-03-10,26.470298
168,006 Nova,2021-05-02,0.101481
169,003 Noble,2021-06-01,35.443913
170,038 Ok Pet,2020-09-25,101168.658
171,001 Elite,2021-05-23,14001.22975
172,006 Nova,2019-09-06,13.078131
173,003 Noble,2020-11-27,76.020194
174,006 Nova,2020-05-04,23.009593
175,038 Ok Pet,2021-05-24,24644.808
176,006 Nova,2020-11-06,40.48921
177,012 Higienol,2021-03-05,10.244767
178,037 Cotidian,2019-10-24,151687.3568
179,001 Elite,2020-03-25,101.539277
180,037 Cotidian,2019-10-18,238070.752
181,001 Elite,2019-09-21,86.16909
182,006 Nova,2021-06-26,24.612143
183,038 Ok Pet,2020-04-01,2399.04
184,012 Higienol,2020-08-31,14.454133
185,001 Elite,2019-09-24,106.139183
186,036 Ladysoft,2020-03-10,6577419.8896
187,037 Cotidian,2021-06-13,672.096
188,037 Cotidian,2021-06-19,170619.1232
189,038 Ok Pet,2021-05-21,39804.984
190,001 Elite,2021-05-20,104614.505543
191,012 Higienol,2020-08-28,12.517768
192,008 Babysec,2021-03-18,5256232.087838
193,006 Nova,2020-05-01,4.190486
194,003 Noble,2020-05-28,45.920736
195,012 Higienol,2021-03-02,9.228797
196,037 Cotidian,2019-10-21,202793.776
197,006 Nova,2020-11-03,23.986151
198,037 Cotidian,2020-04-24,89904.96
199,003 Noble,2020-06-03,61.682998
200,036 Ladysoft,2020-09-15,6319974.2448
201,008 Babysec,2020-01-28,4194175.0302
202,001 Elite,2020-03-28,89.076055
203,036 Ladysoft,2020-09-12,6046928.0992
204,008 Babysec,2020-01-25,3678619.2084
205,008 Babysec,2020-09-16,4760993.1512
206,037 Cotidian,2020-12-12,118542.4928
207,001 Elite,2019-09-27,115.976723
208,037 Cotidian,2021-06-16,266937.216
209,036 Ladysoft,2020-03-13,5982098.4608
210,038 Ok Pet,2021-05-18,12286.026
211,001 Elite,2021-05-17,113270.160669
212,003 Noble,2020-12-03,61.809883
213,008 Babysec,2021-03-21,412110.44
214,037 Cotidian,2021-02-11,209491.936
215,036 Ladysoft,2019-09-12,4535998.0352
216,006 Nova,2020-08-31,27.952825
217,003 Noble,2021-01-24,1.050586
218,036 Ladysoft,2020-03-16,4451756.1776
219,038 Ok Pet,2020-11-19,115534.782
220,003 Noble,2020-06-06,59.829599
221,012 Higienol,2020-02-27,12.914671
222,008 Babysec,2020-11-16,6176114.9392
223,001 Elite,2021-01-18,586495.144365
224,036 Ladysoft,2021-05-08,6714448.6912
225,012 Higienol,2020-03-01,0.172138
226,003 Noble,2019-12-03,42.208389
227,001 Elite,2019-11-30,168.28946
228,006 Nova,2021-03-05,33.630919
229,038 Ok Pet,2021-05-27,2653.938
230,008 Babysec,2019-09-28,3759843.4398
231,037 Cotidian,2019-12-24,89411.104
232,036 Ladysoft,2020-03-19,4200453.184
233,001 Elite,2019-11-24,1.567935
234,008 Babysec,2021-05-24,5914762.988
235,037 Cotidian,2020-08-12,226227.7024
236,012 Higienol,2020-09-03,15.049934
237,006 Nova,2020-03-01,0.394336
238,006 Nova,2020-09-03,26.896892
239,003 Noble,2019-11-30,88.287808
240,036 Ladysoft,2021-05-11,5591243.496
241,001 Elite,2021-01-15,446090.437862
242,038 Ok Pet,2020-05-23,16799.04
243,008 Babysec,2020-11-19,4612694.5446
244,037 Cotidian,2021-02-14,1632.384
245,012 Higienol,2020-03-04,12.918896
246,036 Ladysoft,2021-05-05,4067083.0064
247,038 Ok Pet,2020-11-25,9123.822
248,003 Noble,2019-12-06,41.29875
249,008 Babysec,2021-05-21,6380320.7236
250,008 Babysec,2019-09-25,4190794.51
251,036 Ladysoft,2019-09-15,746762.0608
252,037 Cotidian,2019-12-21,150933.4752
253,001 Elite,2019-11-27,107.828962
254,037 Cotidian,2020-06-18,185058.3168
255,006 Nova,2021-04-26,24.021729
256,003 Noble,2020-04-15,65.498543
257,008 Babysec,2020-07-01,5175160.5
258,037 Cotidian,2019-12-09,128199.0752
259,003 Noble,2020-04-09,3.118348
260,006 Nova,2021-01-22,31.334964
261,001 Elite,2020-05-16,89.341004
262,037 Cotidian,2020-06-12,166398.6016
263,006 Nova,2020-06-04,27.485491
264,036 Ladysoft,2020-07-25,5354292.7568
265,001 Elite,2019-11-12,116.944642
266,003 Noble,2021-06-04,52.046187
267,012 Higienol,2020-03-29,0.157807
268,012 Higienol,2020-10-01,8.221578
269,006 Nova,2019-11-28,11.238662
270,006 Nova,2019-12-04,12.704971
271,036 Ladysoft,2020-01-21,6694423.656
272,008 Babysec,2019-12-25,120110.0224
273,037 Cotidian,2019-12-12,149458.7232
274,036 Ladysoft,2020-07-22,5470168.0144
275,037 Cotidian,2019-12-06,130196.816
276,038 Ok Pet,2020-02-12,3690.018
277,037 Cotidian,2021-01-30,301627.6352
278,036 Ladysoft,2020-07-28,1063167.128
279,001 Elite,2019-11-09,100.288979
280,036 Ladysoft,2020-01-24,5991459.9424
281,012 Higienol,2020-03-26,11.741236
282,001 Elite,2019-11-15,131.003438
283,006 Nova,2019-12-01,0.365304
284,008 Babysec,2019-12-28,3981732.4818
285,012 Higienol,2020-09-28,10.897819
286,038 Ok Pet,2021-03-30,90.018
287,012 Higienol,2021-05-21,7.738205
288,003 Noble,2020-10-15,61.269022
289,038 Ok Pet,2021-04-05,7200.0
290,036 Ladysoft,2020-01-30,7031185.2688
291,001 Elite,2020-11-12,32078.417302
292,001 Elite,2020-05-10,0.775479
293,012 Higienol,2020-04-01,8.57777
294,006 Nova,2021-01-28,62.213653
