,SKU,Fecha,Toneladas
0,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2021-06-11,54816.3072
2,PH ELITE PLUS DH 24 X 2,2020-09-30,1.735878
20,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2021-01-15,63394.0
21,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-11-01,6480.0
30,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2019-12-04,224832.0
31,PH ELITE CLÁSICO DH 2 X 10 CO,2019-09-21,2.443073
34,PL PAÑAL BABYSEC ULTRASEC PPK MD 64X2 NF,2020-06-03,99328.0
43,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2019-11-22,21893.76
47,RC NOVA DH MEGAROLLO  1 X 12,2020-08-25,28.58352
50,PH ELITE DH 2 X 10 LA,2020-12-30,22.049401
52,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2019-09-23,357072.0
55,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2021-05-18,38639.808
56,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2ND2,2020-09-21,79924.0
63,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-10-05,0.080558
64,PH ELITE DH 24 X 2 LA,2020-05-12,14.691164
66,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-03-08,1624.0
68,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-02-02,9856.0
70,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2021-01-22,369984.0
71,PH ELITE CLÁSICO DH 2 X 10 CO,2020-11-09,0.936788
75,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-02-18,43888.0
78,PH ELITE DH 6 X 8 LA,2021-02-24,2.633716
79,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2020-10-29,174416.0
85,PL PAÑAL BABYSEC ULTRASEC PPK XG 48X2 NF,2019-12-10,253440.0
87,SE ELITE DOBLADA BLANCA 100 - 33X33 (N),2021-03-21,0.008338
91,TF LADYSOFT BASICA CON ALAS 8 X 24 PER,2019-10-13,36292.1472
93,PH ELITE CLÁSICO DH 2 X 10 CO,2021-05-11,0.423292
100,TF LADYSOFT NOR CON ALAS 10 X 6 X 4 INN,2020-10-05,3384825.984
102,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2021-05-22,426000.0
103,PL PAÑAL BABYSEC PREMIUM PPK XG 48x2 ND2,2020-06-04,266688.0
109,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2021-05-20,1.061137
111,PH ELITE DH 24 X 2 LA,2021-04-15,8.364571
112,PL PAÑAL BABYSEC PREMIUM PPK XXG 44x2 ND,2020-11-20,65296.0
123,PL PAÑAL BABYSEC PREMIUM PPK GR 58x2 ND,2020-03-29,2900.0
124,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2019-12-03,130624.0
126,PH ELITE  DH 4 X 12 LA,2020-06-19,16.506287
127,PH ELITE PLUS DH 24 X 2,2019-11-20,6.362758
134,RC ELITE CLASICA DH MEGARROLLO  1 X 12,2020-05-13,10.025902
135,TF LADYSOFT NOCTURNA DOBLE ALAS 10 X 8,2021-04-30,245071.232
137,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2019-10-20,5615.8596
143,PD LADYSOFT PROTECT DIARIO 20 X 30 CHINA,2020-01-26,7799.4
144,PL PAÑAL BABYSEC PREMIUM PPK MD 64x2 ND,2021-05-21,47744.0
146,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2019-12-19,130680.0
152,TF LADYSOFT NATURAL CON ALAS 10 X 24 INN,2020-01-06,189960.192
161,PH ELITE DUO  DH 4x12 25 METROS,2020-04-18,6.868431
164,PH ELITE CLÁSICO DH 2 X 10 CO,2021-01-25,0.579423
166,PH HIGIENOL DH 4x6 40 METROS,2021-03-23,7.919962
167,PO ELITE ALOE VERA DISPENSADOR 27 X 8,2020-06-27,0.076153
169,PL PAÑAL BABYSEC PREMIUM SME XG 52x2 ND2,2020-12-06,1040.0
171,TF LADYSOFT DELG CON ALAS 10 X 6 X 4 INN,2020-01-14,266701.248
173,PH NOBLE DH 2 X 10,2020-10-14,26.543824
174,SE ELITE CORTADA 200 X 18 PAQ XBOLSA,2020-03-18,4.275237
176,TH TOALLAS HUMEDAS BABYSEC PREMIUM 50x10,2020-10-25,8500.0
178,PH ELITE  DH 4 X 12 LA,2021-06-23,10.798109
181,TH TOALLITAS HUMEDAS PREMIUM 184x8,2020-12-01,187002.88
182,PH ELITE DUO  DH 6 x 8  25 METROS,2019-12-03,7.701615
187,TF LADYSOFT NORMAL CON ALAS 42 X 8 INN,2020-09-09,71662.08
189,PH ELITE DH 6 X 8 LA,2019-10-15,10.533903
190,PL PAÑAL BABYSEC ULTRASEC PPK GR 58X2 NF,2020-06-22,150916.0
191,PL PAÑAL BABYSECULTRASEC PPK XXG 44X2 NF,2021-02-12,133496.0
197,TH TOALLAS HUMEDAS BABYSEC PREMIUM 150x8,2021-02-02,621120.96
201,PH ELITE ULTRA  DH 24 X 2 FLOR S/C,2020-03-31,0.964817
205,PH ELITE DUO  DH 4x12 25 METROS,2021-04-22,4.371976
206,PL PAÑAL BABYSEC SPCTOTAL MEGA XXG 36X3,2020-12-14,863.9784
218,PH ELITE DUO  DH 6 x 8  25 METROS,2020-11-05,7.301467
226,PH ELITE PLUS DH 24 X 2,2020-08-15,2.646178
231,PH ELITE  DH 4 X 12 LA,2020-01-25,14.693705
